event_id,match_id,tournament_id,event_type,minute_regulation,minute_stoppage,match_period,team_id,player_id,family_name,given_name
1,M-1930-01,WC-1930,goal,19.0,0.0,first half,T-30,P-05470,Laurent,Lucien
2,M-1930-01,WC-1930,goal,40.0,0.0,first half,T-30,P-99087,Langiller,Marcel
3,M-1930-01,WC-1930,goal,43.0,0.0,first half,T-30,P-60620,Maschinot,André
4,M-1930-01,WC-1930,goal,70.0,0.0,second half,T-46,P-94135,Carreño,Juan
5,M-1930-01,WC-1930,goal,87.0,0.0,second half,T-30,P-60620,Maschinot,André
6,M-1930-02,WC-1930,goal,23.0,0.0,first half,T-83,P-65185,McGhee,Bart
7,M-1930-02,WC-1930,goal,45.0,0.0,first half,T-83,P-37361,Florie,Tom
8,M-1930-02,WC-1930,goal,69.0,0.0,second half,T-83,P-71973,Patenaude,Bert
9,M-1930-03,WC-1930,goal,21.0,0.0,first half,T-87,P-43349,Tirnanić,Aleksandar
10,M-1930-03,WC-1930,goal,30.0,0.0,first half,T-87,P-43734,Bek,Ivan
11,M-1930-03,WC-1930,goal,62.0,0.0,second half,T-09,P-91171,Preguinho,not applicable
12,M-1930-04,WC-1930,goal,1.0,0.0,first half,T-61,P-91295,Deşu,Adalbert
13,M-1930-04,WC-1930,goal,75.0,0.0,second half,T-56,P-44010,Souza Ferreira,Luis
14,M-1930-04,WC-1930,goal,79.0,0.0,second half,T-61,P-18615,Stanciu,Constantin
15,M-1930-04,WC-1930,goal,89.0,0.0,second half,T-61,P-70294,Kovács,Miklós
16,M-1930-05,WC-1930,goal,81.0,0.0,second half,T-03,P-25760,Monti,Luis
17,M-1930-06,WC-1930,goal,3.0,0.0,first half,T-13,P-61338,Vidal,Carlos
18,M-1930-06,WC-1930,own_goal,52.0,0.0,second half,T-13,P-89481,Rosas,Manuel
19,M-1930-06,WC-1930,goal,65.0,0.0,second half,T-13,P-61338,Vidal,Carlos
20,M-1930-07,WC-1930,goal,60.0,0.0,second half,T-87,P-43734,Bek,Ivan
21,M-1930-07,WC-1930,goal,65.0,0.0,second half,T-87,P-75929,Marjanović,Blagoje
22,M-1930-07,WC-1930,goal,67.0,0.0,second half,T-87,P-43734,Bek,Ivan
23,M-1930-07,WC-1930,goal,85.0,0.0,second half,T-87,P-33565,Vujadinović,Đorđe
24,M-1930-08,WC-1930,goal,10.0,0.0,first half,T-83,P-71973,Patenaude,Bert
25,M-1930-08,WC-1930,goal,15.0,0.0,first half,T-83,P-71973,Patenaude,Bert
26,M-1930-08,WC-1930,goal,50.0,0.0,second half,T-83,P-71973,Patenaude,Bert
27,M-1930-09,WC-1930,goal,65.0,0.0,second half,T-84,P-54697,Castro,Héctor
28,M-1930-10,WC-1930,goal,67.0,0.0,second half,T-13,P-08459,Subiabre,Guillermo
29,M-1930-11,WC-1930,goal,8.0,0.0,first half,T-03,P-56486,Stábile,Guillermo
30,M-1930-11,WC-1930,goal,12.0,0.0,first half,T-03,P-76546,Zumelzú,Adolfo
31,M-1930-11,WC-1930,goal,17.0,0.0,first half,T-03,P-56486,Stábile,Guillermo
32,M-1930-11,WC-1930,penalty_goal,42.0,0.0,first half,T-46,P-89481,Rosas,Manuel
33,M-1930-11,WC-1930,goal,53.0,0.0,second half,T-03,P-37326,Varallo,Francisco
34,M-1930-11,WC-1930,goal,55.0,0.0,second half,T-03,P-76546,Zumelzú,Adolfo
35,M-1930-11,WC-1930,goal,65.0,0.0,second half,T-46,P-89481,Rosas,Manuel
36,M-1930-11,WC-1930,goal,75.0,0.0,second half,T-46,P-31066,Gayón,Roberto
37,M-1930-11,WC-1930,goal,80.0,0.0,second half,T-03,P-56486,Stábile,Guillermo
38,M-1930-12,WC-1930,goal,37.0,0.0,first half,T-09,P-83987,Moderato,not applicable
39,M-1930-12,WC-1930,goal,57.0,0.0,second half,T-09,P-91171,Preguinho,not applicable
40,M-1930-12,WC-1930,goal,73.0,0.0,second half,T-09,P-83987,Moderato,not applicable
41,M-1930-12,WC-1930,goal,83.0,0.0,second half,T-09,P-91171,Preguinho,not applicable
42,M-1930-13,WC-1930,goal,40.0,0.0,first half,T-55,P-06201,Vargas Peña,Luis
43,M-1930-14,WC-1930,goal,7.0,0.0,first half,T-84,P-38674,Dorado,Pablo
44,M-1930-14,WC-1930,goal,26.0,0.0,first half,T-84,P-44201,Scarone,Héctor
45,M-1930-14,WC-1930,goal,31.0,0.0,first half,T-84,P-57352,Anselmo,Peregrino
46,M-1930-14,WC-1930,goal,35.0,0.0,first half,T-84,P-18628,Cea,Pedro
47,M-1930-15,WC-1930,goal,12.0,0.0,first half,T-03,P-56486,Stábile,Guillermo
48,M-1930-15,WC-1930,goal,13.0,0.0,first half,T-03,P-56486,Stábile,Guillermo
49,M-1930-15,WC-1930,goal,15.0,0.0,first half,T-13,P-08459,Subiabre,Guillermo
50,M-1930-15,WC-1930,goal,51.0,0.0,second half,T-03,P-23897,Evaristo,Mario
51,M-1930-16,WC-1930,goal,20.0,0.0,first half,T-03,P-25760,Monti,Luis
52,M-1930-16,WC-1930,goal,56.0,0.0,second half,T-03,P-44916,Scopelli,Alejandro
53,M-1930-16,WC-1930,goal,69.0,0.0,second half,T-03,P-56486,Stábile,Guillermo
54,M-1930-16,WC-1930,goal,80.0,0.0,second half,T-03,P-70166,Peucelle,Carlos
55,M-1930-16,WC-1930,goal,85.0,0.0,second half,T-03,P-70166,Peucelle,Carlos
