key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
3,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson
5,P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo
9,P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate
10,P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie
14,P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri
15,P-29132,Abd Al-Jawad,Mohamed,1962-11-28,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad
16,P-26446,Abdel Rahman,Adel,1967-12-11,0,0,0,0,1,1,1990,https://en.wikipedia.org/wiki/Adel_Abdel_Rahman
17,P-29161,Abdel Shafy,Mohamed,1985-07-01,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy
18,P-73679,Abdel-Hamid,Gamal,1957-11-24,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid
19,P-62193,Abdelghani,Magdi,1959-07-27,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Magdi_Abdelghani
20,P-61342,Abdellah,Nacer,1966-03-03,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Nacer_Abdellah
21,P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer)
22,P-98081,Abdollahi,Nasrollah,1951-09-02,0,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi
23,P-94880,Abdoun,Djamel,1986-02-14,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun
24,P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed
